pasar,komoditas,satuan,harga,tanggal_lengkap
Sepinggan,Cabe/Lombok Keriting,kg,65000,2/24/2025
Sepinggan,Cabe/Lombok Keriting,kg,70000,2/25/2025
Sepinggan,Cabe/Lombok Keriting,kg,70000,2/26/2025
Sepinggan,Cabe/Lombok Keriting,kg,70000,2/27/2025
Sepinggan,Cabe/Lombok Keriting,kg,70000,2/28/2025
Sepinggan,Cabe/Lombok Keriting,kg,95000,3/5/2025
Sepinggan,Cabe/Lombok Keriting,kg,95000,3/6/2025
Sepinggan,Cabe/Lombok Keriting,kg,95000,3/7/2025
Sepinggan,Cabe/Lombok Keriting,kg,95000,3/10/2025
Sepinggan,Cabe/Lombok Keriting,kg,95000,3/11/2025
Sepinggan,Cabe/Lombok Keriting,kg,95000,3/12/2025
Sepinggan,Cabe/Lombok Keriting,kg,95000,3/13/2025
Sepinggan,Cabe/Lombok Keriting,kg,95000,3/14/2025
Sepinggan,Cabe/Lombok Keriting,kg,95000,3/17/2025
Sepinggan,Cabe/Lombok Keriting,kg,95000,3/18/2025
Sepinggan,Cabe/Lombok Keriting,kg,95000,3/19/2025
Sepinggan,Cabe/Lombok Keriting,kg,95000,3/20/2025
Sepinggan,Cabe/Lombok Keriting,kg,95000,3/21/2025
Sepinggan,Cabe/Lombok Keriting,kg,97000,3/24/2025
Sepinggan,Cabe/Lombok Keriting,kg,97000,3/25/2025
Sepinggan,Cabe/Lombok Keriting,kg,97000,3/26/2025
Sepinggan,Cabe/Lombok Keriting,kg,97000,3/27/2025
Sepinggan,Cabe/Lombok Keriting,kg,68000,4/2/2025
Sepinggan,Cabe/Lombok Keriting,kg,68000,4/5/2025
Sepinggan,Cabe/Lombok Keriting,kg,68000,4/6/2025
Sepinggan,Cabe/Lombok Keriting,kg,97000,4/8/2025
Sepinggan,Cabe/Lombok Keriting,kg,97000,4/9/2025
Sepinggan,Cabe/Lombok Keriting,kg,97000,4/10/2025
Sepinggan,Cabe/Lombok Keriting,kg,97000,4/11/2025
Sepinggan,Cabe/Lombok Keriting,kg,97000,4/14/2025
Sepinggan,Cabe/Lombok Keriting,kg,97000,4/15/2025
Sepinggan,Cabe/Lombok Keriting,kg,97000,4/16/2025
